,X,Y,Z,M200c,Density,Contrast
7793,35.07067,60.14495,37.44928,99730000000.0,1160.62927851,1.26685405959
7794,34.54599,61.58025,34.9561,24970000000.0,1160.80112507,1.26718969741
7795,35.10013,60.1183,37.44099,95400000000.0,1161.45115338,1.26845928395
7796,27.43593,43.39936,10.54897,23310000000.0,1161.877034,1.26929108203
7797,27.8794,45.31432,62.76947,21480000000.0,1162.04514477,1.26961942337
7798,36.7278,62.11058,36.02203,33630000000.0,1162.25061348,1.27002072946
7799,35.3654,59.67147,37.2185,1.34e+11,1162.57562764,1.27065552273
7800,5.9454,36.40796,55.79218,1.25e+11,1162.66528671,1.27083063811
7801,27.4751,45.30349,61.67357,63270000000.0,1162.75121,1.27099845702
7802,35.34309,59.67533,37.22314,50110000000.0,1162.75494579,1.2710057535
7803,34.92439,62.23395,35.36181,40460000000.0,1162.78483215,1.27106412529
7804,27.4845,3.47891,7.1341,29800000000.0,1162.78856795,1.27107142177
7805,27.64446,63.0072,31.04659,35460000000.0,1163.1098463,1.27169891856
7806,29.77415,29.59669,41.59494,38120000000.0,1163.37135194,1.27220967177
7807,27.43008,45.34827,61.80375,7.019e+11,1163.59549964,1.27264746023
